town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,KF,L,MHL,MRZ,PA,SHS,OTHER
338,107,24,0,24,0,0,0,3,3,1,13,0,3,0,1
339,446,373,0,373,45,3,2,12,6,6,31,36,204,1,27
340,557,400,1,399,54,0,1,5,3,10,23,89,208,2,4
342,318,234,0,234,43,0,0,5,0,18,26,12,124,3,3
343,300,220,0,220,51,1,0,7,0,2,33,8,116,1,1
344,548,444,1,443,81,0,3,3,2,7,23,119,202,1,2
345,488,353,3,350,50,0,0,4,0,5,14,70,206,0,1
346,348,264,2,262,65,0,3,4,0,4,11,27,136,7,5
347,212,151,0,151,43,0,0,4,0,10,0,19,75,0,0
348,386,260,0,260,86,1,0,6,3,9,24,14,114,1,2
351,1393,1088,2,1086,19,10,0,487,142,7,336,1,32,47,5
352,300,188,1,187,30,0,2,3,0,28,13,56,53,0,2
353,114,74,5,69,11,0,1,0,0,0,2,12,40,1,2
354,700,437,3,434,134,0,3,4,2,37,18,53,180,0,3
355,294,198,0,198,19,0,0,4,1,7,33,56,78,0,0
356,636,451,2,449,71,1,2,6,3,17,52,48,243,3,3
357,724,492,2,490,72,2,4,20,1,16,68,62,244,1,0
358,694,535,4,531,74,1,5,7,4,13,56,119,240,6,6
359,347,254,0,254,51,0,0,2,2,7,8,42,139,0,3
360,431,329,0,329,27,1,0,9,0,8,119,19,91,3,52
362,502,347,0,347,46,1,0,6,0,11,11,94,175,0,3
363,335,284,0,284,3,6,0,183,22,3,60,0,6,1,0
364,541,424,0,424,30,0,1,25,2,7,66,66,140,4,83
365,480,353,0,353,57,0,1,4,1,5,19,125,137,0,4
366,678,498,0,498,57,0,0,5,0,9,25,131,269,0,2
367,585,467,0,467,19,1,0,20,5,7,293,16,82,21,3
368,592,434,0,434,17,13,0,23,31,11,238,3,38,58,2
369,370,274,0,274,44,0,1,0,0,14,9,41,165,0,0
370,385,205,1,204,25,0,2,2,0,6,13,47,106,0,3
372,439,317,3,314,46,1,0,10,3,9,78,17,136,9,5
373,533,428,1,427,23,0,0,6,1,10,43,53,217,1,73
374,457,307,0,307,89,0,3,8,4,9,15,61,115,0,3
375,800,642,0,642,95,1,1,10,0,12,18,114,388,0,3
376,668,525,1,524,96,1,1,2,0,28,22,141,229,1,3
377,630,473,1,472,39,2,0,9,0,6,23,148,243,1,1
378,252,172,2,170,33,0,0,3,0,11,7,23,90,0,3
379,689,526,2,524,35,3,0,26,6,8,149,19,172,23,83
380,678,470,2,468,56,2,9,9,1,17,32,131,206,0,5
382,1055,711,2,709,44,1,2,14,2,17,42,125,460,1,1
383,424,312,1,311,15,2,2,183,10,1,40,6,49,0,3
385,432,276,1,275,48,0,0,4,1,4,11,52,153,1,1
386,986,789,1,788,79,0,0,24,4,29,113,68,461,6,4
387,628,495,0,495,33,2,3,9,1,13,38,64,321,0,11
388,439,316,1,315,28,0,0,17,6,15,49,23,167,3,7
389,777,600,0,600,38,2,1,18,0,22,59,57,364,2,37
390,809,580,0,580,68,0,0,7,3,22,90,38,343,4,5
393,456,318,0,318,31,1,0,6,0,6,5,102,167,0,0
394,618,488,2,486,79,0,2,5,2,12,18,120,244,2,2
395,777,526,3,523,135,0,0,12,1,26,51,50,246,0,2
396,739,564,0,564,35,1,6,33,13,20,142,6,188,11,109
397,816,590,1,589,100,0,2,0,0,15,17,85,368,1,1
398,245,190,0,190,1,9,0,28,22,3,97,1,6,18,5
399,852,649,1,648,209,1,2,7,2,13,19,144,247,0,4
400,900,777,4,773,12,25,0,324,82,6,250,1,8,65,0
402,574,384,2,382,44,0,6,2,1,7,7,162,150,0,3
403,442,243,2,241,51,1,3,1,1,12,12,33,126,0,1
405,690,480,1,479,46,1,3,14,4,19,89,68,225,6,4
406,665,451,0,451,40,0,3,1,1,9,10,155,229,2,1
407,313,217,1,216,28,1,0,4,1,9,14,11,144,3,1
408,509,349,1,348,57,1,0,10,3,15,23,43,189,4,3
409,553,370,5,365,43,0,0,4,4,11,46,88,169,0,0
413,399,277,0,277,94,1,2,4,2,8,25,35,105,0,1
414,357,286,0,286,38,1,0,16,5,5,75,29,75,15,27
415,267,216,1,215,4,1,0,103,9,0,65,0,2,31,0
416,483,339,0,339,67,0,0,3,2,11,39,38,174,2,3
417,541,420,2,418,38,0,1,3,0,10,9,143,210,0,4
418,833,631,2,629,49,0,2,7,1,16,62,78,362,3,49
419,626,461,4,457,31,2,1,214,12,1,66,8,114,4,4
421,468,312,2,310,95,0,0,4,0,17,15,36,139,1,3
422,536,408,0,408,30,0,0,21,2,11,72,40,214,6,12
423,614,462,1,461,36,0,7,3,3,7,11,151,241,0,2
424,455,351,0,351,95,0,1,6,2,13,17,53,158,2,4
425,652,495,0,495,34,2,0,8,0,11,33,50,318,0,39
426,523,405,2,403,74,1,1,0,2,22,25,62,215,0,1
427,98,59,0,59,4,1,0,2,0,8,15,3,23,0,3
428,744,530,2,528,135,0,4,15,4,22,46,49,243,1,9
429,678,526,1,525,46,0,2,10,3,17,37,84,320,1,5
430,630,464,2,462,53,2,2,14,1,19,46,60,247,4,14
431,627,458,3,455,12,5,0,25,28,1,271,0,7,102,4
432,430,313,0,313,28,1,1,9,0,8,29,103,133,0,1
433,535,417,1,416,74,0,0,5,1,10,15,59,246,0,6
434,588,444,0,444,79,0,0,4,4,11,19,71,254,1,1
435,590,484,1,483,106,0,1,5,1,5,7,56,296,2,4
436,904,577,2,575,65,0,1,8,0,23,31,147,298,0,2
437,609,499,0,499,112,0,1,45,5,10,39,73,208,0,6
439,356,257,1,256,23,5,0,129,4,1,50,1,40,2,1
440,319,295,0,295,0,273,0,3,5,0,4,1,1,8,0
442,291,201,2,199,21,5,0,7,8,10,93,3,36,16,0
443,709,403,2,401,60,0,4,5,0,12,23,60,235,1,1
444,415,288,0,288,55,1,4,3,0,2,19,45,157,2,0
445,829,629,2,627,94,0,2,6,1,15,20,188,296,0,5
446,798,617,0,617,30,0,1,10,4,26,79,82,367,7,11
447,1548,1169,5,1164,94,3,1,37,3,45,220,63,680,14,4
448,601,495,0,495,46,1,1,13,0,10,47,63,252,3,59
449,901,740,0,740,14,14,0,448,41,8,133,3,55,6,18
450,403,274,0,274,21,0,0,131,4,2,52,7,50,1,6
452,566,343,1,342,63,0,1,1,0,11,10,56,200,0,0
453,537,372,2,370,41,0,0,10,0,15,14,61,227,0,2
454,615,426,3,423,35,2,4,12,0,26,74,66,203,0,1
456,1093,859,3,856,61,3,1,96,11,46,154,99,350,3,32
457,631,456,1,455,53,0,0,2,0,11,13,166,208,0,2
460,466,344,1,343,33,1,3,17,3,10,54,60,113,4,45
462,767,619,4,615,72,0,5,10,3,20,60,67,312,6,60
463,552,395,2,393,45,0,3,2,1,10,21,120,189,0,2
464,220,120,0,120,17,0,3,1,0,2,4,34,56,0,3
465,623,403,1,402,150,0,0,5,0,9,16,70,146,1,5
466,5074,3847,7,3840,170,60,3,162,150,147,1794,48,1000,296,10
469,8188,5785,51,5734,226,52,11,276,211,259,2895,49,998,676,81
472,4760,2459,53,2406,40,5,1732,2,4,12,115,82,295,52,67
473,9327,5667,50,5617,88,4,3759,6,3,381,224,55,802,227,68
475,500,269,3,266,3,0,237,1,1,0,2,6,11,0,5
478,9493,5778,41,5737,15,0,5471,1,5,2,40,45,102,8,48
480,8658,4546,47,4499,1833,8,155,20,4,438,218,124,1676,2,21
481,15865,8370,99,8271,227,3,3787,81,7,765,223,189,2234,679,76
482,6450,3954,28,3926,118,1,3355,2,2,1,35,59,266,23,64
